Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.17932027578353882,0.3734374940395355,0.16334344446659088,0.5874999761581421
1,0.15043559670448303,0.6031249761581421,0.1405143290758133,0.6499999761581421
2,0.1222263053059578,0.7000000476837158,0.11653371155261993,0.737500011920929
3,0.10362713783979416,0.768750011920929,0.10077057033777237,0.7749999761581421
4,0.08593931049108505,0.8109374642372131,0.08833273500204086,0.793749988079071
5,0.07192227989435196,0.848437488079071,0.07357174158096313,0.84375
6,0.06149979308247566,0.8812499046325684,0.06695089489221573,0.8500000238418579
7,0.0529385507106781,0.885937511920929,0.059114981442689896,0.856249988079071
8,0.04827971011400223,0.8843749761581421,0.05629201978445053,0.856249988079071
9,0.04592156410217285,0.8843750357627869,0.05508331581950188,0.856249988079071
10,0.04464038461446762,0.8843749165534973,0.054072730243206024,0.856249988079071
11,0.04417255148291588,0.8843750357627869,0.05355440452694893,0.856249988079071
12,0.04321747273206711,0.8843750357627869,0.05252896621823311,0.856249988079071
13,0.04255855083465576,0.8859374523162842,0.05252031609416008,0.856249988079071
14,0.042355015873909,0.885937511920929,0.05204545333981514,0.856249988079071
15,0.042694300413131714,0.885937511920929,0.053391825407743454,0.856249988079071
16,0.04142320901155472,0.885937511920929,0.0545990876853466,0.856249988079071
17,0.042276620864868164,0.885937511920929,0.05259862542152405,0.856249988079071
18,0.04137181490659714,0.8859374523162842,0.05136844515800476,0.856249988079071
19,0.041729968041181564,0.885937511920929,0.051355279982089996,0.856249988079071
20,0.041186220943927765,0.8859374523162842,0.05155233293771744,0.856249988079071
21,0.041168492287397385,0.8859375715255737,0.05111176520586014,0.856249988079071
22,0.041015781462192535,0.8859376311302185,0.051355741918087006,0.856249988079071
23,0.04090791940689087,0.8859374523162842,0.051890142261981964,0.856249988079071
24,0.04088404402136803,0.8859374523162842,0.051277101039886475,0.856249988079071
25,0.04073493182659149,0.885937511920929,0.0516715869307518,0.856249988079071
26,0.04075007885694504,0.8859374523162842,0.05116746574640274,0.856249988079071
27,0.04070035368204117,0.8859374523162842,0.050620950758457184,0.856249988079071
28,0.04055865854024887,0.885937511920929,0.05049145966768265,0.856249988079071
29,0.04038820043206215,0.8859373927116394,0.05095161125063896,0.856249988079071
30,0.040200792253017426,0.885937511920929,0.051990341395139694,0.856249988079071
31,0.04059164971113205,0.8859374523162842,0.05076755955815315,0.856249988079071
32,0.04034252092242241,0.8859374523162842,0.050917744636535645,0.856249988079071
33,0.04056619107723236,0.8859374523162842,0.052152954041957855,0.856249988079071
34,0.0401107594370842,0.8859374523162842,0.051177430897951126,0.856249988079071
35,0.040116433054208755,0.885937511920929,0.050377584993839264,0.856249988079071
36,0.040076494216918945,0.885937511920929,0.05107174441218376,0.856249988079071
37,0.04003484174609184,0.885937511920929,0.05113055557012558,0.856249988079071
38,0.0400979146361351,0.885937511920929,0.05030529946088791,0.856249988079071
39,0.03997603803873062,0.885937511920929,0.05049026757478714,0.856249988079071
40,0.039812829345464706,0.8859374523162842,0.05079168081283569,0.856249988079071
41,0.039738547056913376,0.8859375715255737,0.049926962703466415,0.856249988079071
42,0.03980974480509758,0.885937511920929,0.05017385631799698,0.856249988079071
43,0.039700232446193695,0.885937511920929,0.05024635046720505,0.856249988079071
44,0.039642371237277985,0.8859375715255737,0.05016150325536728,0.856249988079071
45,0.039823226630687714,0.8859375715255737,0.05120314285159111,0.856249988079071
46,0.03970768302679062,0.8859373927116394,0.052210383117198944,0.856249988079071
47,0.03964047506451607,0.8859374523162842,0.0510939359664917,0.856249988079071
48,0.03978757932782173,0.885937511920929,0.05047107860445976,0.856249988079071
49,0.03947475180029869,0.8859375715255737,0.04949386790394783,0.856249988079071
50,0.03951461240649223,0.885937511920929,0.04938464239239693,0.856249988079071
51,0.0395808182656765,0.8859373927116394,0.04961834475398064,0.856249988079071
52,0.03969980403780937,0.8859375715255737,0.05034445598721504,0.856249988079071
53,0.039699334651231766,0.8859374523162842,0.04989723488688469,0.856249988079071
54,0.03952900320291519,0.8859374523162842,0.04987769573926926,0.856249988079071
55,0.039412111043930054,0.8859374523162842,0.04927433282136917,0.856249988079071
56,0.03937077894806862,0.885937511920929,0.049746930599212646,0.856249988079071
57,0.03932727128267288,0.8859374523162842,0.04947749525308609,0.856249988079071
58,0.03939572349190712,0.8859375715255737,0.050092197954654694,0.856249988079071
59,0.03928840160369873,0.885937511920929,0.04978518933057785,0.856249988079071
60,0.039435334503650665,0.885937511920929,0.050655804574489594,0.856249988079071
61,0.03914213553071022,0.8859373927116394,0.04944576695561409,0.856249988079071
62,0.03926573321223259,0.885937511920929,0.04934976249933243,0.856249988079071
63,0.039212096482515335,0.885937511920929,0.049700502306222916,0.856249988079071
64,0.03908056765794754,0.8859374523162842,0.049280352890491486,0.856249988079071
65,0.03930351138114929,0.885937511920929,0.04934415593743324,0.856249988079071
66,0.03956739604473114,0.8859374523162842,0.049154795706272125,0.856249988079071
67,0.039185263216495514,0.8859374523162842,0.04957852512598038,0.856249988079071
68,0.03917441517114639,0.885937511920929,0.04930884763598442,0.856249988079071
69,0.03908297047019005,0.885937511920929,0.049976103007793427,0.856249988079071
70,0.03904925659298897,0.885937511920929,0.04932928830385208,0.856249988079071
